2025-03-17 17:17:43 - [x] Subskrybent nasłuchuje na kolejce 'zapispostaci'
2025-03-17 17:17:43 - Nasłuchiwanie rozpoczęte. Naciśnij dowolny klawisz, aby zakończyć.
2025-03-17 17:17:47 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"62c63006-eed6-4653-ba7b-cf7dfff0d673","Timestamp":"2025-03-17T16:17:46.5143169Z","Data":"Dane postaci"}
2025-03-17 17:17:54 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"3aab1d87-7cec-4611-a956-484d0402c4b8","Timestamp":"2025-03-17T16:17:54.2048203Z","Data":"Dane postaci"}
2025-03-17 17:17:57 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"776394ce-16bd-4e4c-90e3-9bc3e29f3cd5","Timestamp":"2025-03-17T16:17:57.326242Z","Data":"Dane postaci"}
2025-03-17 17:18:05 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"ddbac410-9ef5-483b-8d03-35b5c9ed28ac","Timestamp":"2025-03-17T16:18:05.924818Z","Data":"Dane postaci"}
2025-03-17 17:18:14 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"92cb8efc-41b9-4356-8580-d496922c68b6","Timestamp":"2025-03-17T16:18:14.6355615Z","Data":"Dane postaci"}
2025-03-17 17:51:38 - [x] Subskrybent nasłuchuje na kolejce 'zapispostaci'
2025-03-17 17:51:38 - Nasłuchiwanie rozpoczęte. Naciśnij dowolny klawisz, aby zakończyć.
2025-03-17 17:51:41 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"bf4eabf3-d0dd-4b01-9f74-430aafef51b9","Timestamp":"2025-03-17T16:51:40.8023335Z","Data":"Dane postaci"}
2025-03-17 17:51:47 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"cefaa011-d42a-4b5b-aac7-fb54ecd3642e","Timestamp":"2025-03-17T16:51:47.1689104Z","Data":"Dane postaci"}
2025-03-17 17:51:51 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"b46b2adf-78f2-46b8-82b1-6389f28a8a97","Timestamp":"2025-03-17T16:51:51.3490613Z","Data":"Dane postaci"}
2025-03-17 17:51:59 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"58ecf4a8-1859-4c92-a0da-3628e25a0d3a","Timestamp":"2025-03-17T16:51:59.1382821Z","Data":"Dane postaci"}
2025-03-17 17:52:07 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"5e681ef8-2585-414f-b89f-09103e7ff7c7","Timestamp":"2025-03-17T16:52:07.534973Z","Data":"Dane postaci"}
2025-03-17 17:52:11 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"f981db47-215a-4b4e-8312-007033aa09f1","Timestamp":"2025-03-17T16:52:11.7042737Z","Data":"Dane postaci"}
2025-03-17 17:52:19 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"c5435721-f959-47e4-a03e-db7a00e3cba8","Timestamp":"2025-03-17T16:52:19.1572637Z","Data":"Dane postaci"}
2025-03-17 17:52:27 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"af83fc13-9e3d-49d4-b664-99c937190a3e","Timestamp":"2025-03-17T16:52:27.5529542Z","Data":"Dane postaci"}
2025-03-17 17:52:31 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"9a8d538c-925c-4a78-9f86-2fc15f6e3810","Timestamp":"2025-03-17T16:52:31.7204995Z","Data":"Dane postaci"}
2025-03-17 17:52:39 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"fd53f66e-00da-406b-b4f2-15409095409a","Timestamp":"2025-03-17T16:52:39.1868488Z","Data":"Dane postaci"}
2025-03-17 17:52:47 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"b0bb9ec8-2fab-409f-8e60-4f21ea621895","Timestamp":"2025-03-17T16:52:47.5582084Z","Data":"Dane postaci"}
2025-03-17 17:52:51 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"7020ec39-f906-41fc-aea3-5bc4c59c232a","Timestamp":"2025-03-17T16:52:51.7386052Z","Data":"Dane postaci"}
2025-03-17 17:52:59 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"6df629ba-773a-494b-bec7-ea71d70b7275","Timestamp":"2025-03-17T16:52:59.2129127Z","Data":"Dane postaci"}
2025-03-17 17:53:07 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"050bf227-382b-4112-bfe0-01c3068bc7ec","Timestamp":"2025-03-17T16:53:07.5698392Z","Data":"Dane postaci"}
2025-03-17 17:53:11 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"46327c1a-3edf-443c-9302-8cf58d68a270","Timestamp":"2025-03-17T16:53:11.754915Z","Data":"Dane postaci"}
2025-03-17 17:53:19 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"640a8192-bff8-4457-813f-2c7ad58265bd","Timestamp":"2025-03-17T16:53:19.2208869Z","Data":"Dane postaci"}
2025-03-17 17:53:27 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"d9caf1fd-7216-47b7-987f-0a51a863967d","Timestamp":"2025-03-17T16:53:27.586993Z","Data":"Dane postaci"}
