2025-03-17 17:17:48 - [x] Subskrybent nasłuchuje na kolejce 'udanyatak'
2025-03-17 17:17:48 - Nasłuchiwanie rozpoczęte. Naciśnij dowolny klawisz, aby zakończyć.
2025-03-17 17:17:52 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"623ff21f-f244-4719-ab82-51176cf55620","Timestamp":"2025-03-17T16:17:52.3462283Z","Data":"Dane ataku"}
2025-03-17 17:18:02 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"03e2a07d-32a8-4498-9fac-c391bc20fef3","Timestamp":"2025-03-17T16:18:02.9074798Z","Data":"Dane ataku"}
2025-03-17 17:18:07 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"062ea55f-5fbe-4ce8-bfcf-4fff93123ee2","Timestamp":"2025-03-17T16:18:07.853019Z","Data":"Dane ataku"}
2025-03-17 17:18:12 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"f38bb8d5-73c2-4575-8ce9-4f46ea3152b5","Timestamp":"2025-03-17T16:18:12.7804571Z","Data":"Dane ataku"}
2025-03-17 17:51:42 - [x] Subskrybent nasłuchuje na kolejce 'udanyatak'
2025-03-17 17:51:42 - Nasłuchiwanie rozpoczęte. Naciśnij dowolny klawisz, aby zakończyć.
2025-03-17 17:51:44 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"8e809e65-8aad-42bd-a171-19946a8c0b60","Timestamp":"2025-03-17T16:51:44.019753Z","Data":"Dane ataku"}
2025-03-17 17:51:47 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"ee3678f7-4da3-4479-88b9-83ce670460dd","Timestamp":"2025-03-17T16:51:47.6351594Z","Data":"Dane ataku"}
2025-03-17 17:51:56 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"d93d9b29-36db-4e4d-8dc9-e79d022fc48d","Timestamp":"2025-03-17T16:51:56.8905394Z","Data":"Dane ataku"}
2025-03-17 17:52:04 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"c4885f47-a28a-4f21-97ba-bd51e6584f16","Timestamp":"2025-03-17T16:52:04.3091823Z","Data":"Dane ataku"}
